### Test results ###
block;trial;string_id;focus;sndfnA;sndfnB;sndfnC;correct;rt
1;1;30;LUT;sot.wav;X_kasi.wav;toef.wav;1;-9999
1;2;6;LUT;rak.wav;X_kasi.wav;lut.wav;1;664
1;3;24;LUT;rak.wav;X_vami.wav;lut.wav;1;569
1;4;32;LUT;sot.wav;X_snigger.wav;toef.wav;0;633
1;5;22;LUT;rak.wav;X_sulep.wav;lut.wav;1;616
1;6;41;LUT;sot.wav;X_nilbo.wav;toef.wav;0;591
1;7;34;LUT;sot.wav;X_domo.wav;toef.wav;0;822
1;8;39;LUT;sot.wav;X_naspoe.wav;toef.wav;1;-9999
1;9;11;LUT;rak.wav;X_wadim.wav;lut.wav;1;703
1;10;1;LUT;rak.wav;X_mofig.wav;lut.wav;1;865
1;11;8;LUT;rak.wav;X_snigger.wav;lut.wav;1;886
1;12;44;LUT;sot.wav;X_bensim.wav;toef.wav;0;877
1;13;4;LUT;rak.wav;X_rogges.wav;lut.wav;1;791
1;14;45;LUT;sot.wav;X_gopem.wav;toef.wav;1;-9999
1;15;9;LUT;rak.wav;X_noeba.wav;lut.wav;1;849
1;16;31;LUT;sot.wav;X_loga.wav;toef.wav;0;663
1;17;21;LUT;rak.wav;X_gopem.wav;lut.wav;1;645
1;18;19;LUT;rak.wav;X_tita.wav;lut.wav;1;677
1;19;20;LUT;rak.wav;X_bensim.wav;lut.wav;1;802
1;20;27;LUT;sot.wav;X_wiffel.wav;toef.wav;0;519
1;21;7;LUT;rak.wav;X_loga.wav;lut.wav;1;835
1;22;25;LUT;sot.wav;X_mofig.wav;toef.wav;0;737
1;23;12;LUT;rak.wav;X_banip.wav;lut.wav;1;535
1;24;5;LUT;rak.wav;X_kengel.wav;lut.wav;1;764
1;25;14;LUT;rak.wav;X_plizet.wav;lut.wav;1;792
1;26;40;LUT;sot.wav;X_fidan.wav;toef.wav;0;791
1;27;26;LUT;sot.wav;X_seta.wav;toef.wav;0;752
1;28;33;LUT;sot.wav;X_noeba.wav;toef.wav;0;1002
1;29;17;LUT;rak.wav;X_nilbo.wav;lut.wav;1;669
1;30;15;LUT;rak.wav;X_naspoe.wav;lut.wav;1;688
1;31;28;LUT;sot.wav;X_rogges.wav;toef.wav;0;589
1;32;35;LUT;sot.wav;X_wadim.wav;toef.wav;0;569
1;33;36;LUT;sot.wav;X_banip.wav;toef.wav;1;-9999
1;34;13;LUT;rak.wav;X_rajee.wav;lut.wav;1;805
1;35;43;LUT;sot.wav;X_tita.wav;toef.wav;0;798
1;36;10;LUT;rak.wav;X_domo.wav;lut.wav;1;1126
1;37;38;LUT;sot.wav;X_plizet.wav;toef.wav;0;913
1;38;2;LUT;rak.wav;X_seta.wav;lut.wav;1;831
1;39;23;LUT;rak.wav;X_hiftam.wav;lut.wav;1;893
1;40;48;LUT;sot.wav;X_vami.wav;toef.wav;0;674
1;41;37;LUT;sot.wav;X_rajee.wav;toef.wav;0;768
1;42;29;LUT;sot.wav;X_kengel.wav;toef.wav;0;803
1;43;18;LUT;rak.wav;X_poemer.wav;lut.wav;0;-9999
1;44;16;LUT;rak.wav;X_fidan.wav;lut.wav;0;-9999
1;45;3;LUT;rak.wav;X_wiffel.wav;lut.wav;0;-9999
1;46;46;LUT;sot.wav;X_sulep.wav;toef.wav;1;-9999
1;47;42;LUT;sot.wav;X_poemer.wav;toef.wav;1;-9999
1;48;47;LUT;sot.wav;X_hiftam.wav;toef.wav;1;-9999
