### lut_RL_ST ###
id;sndfnA;sndfnB;sndfnC
1;rak.wav;X_mofig.wav;lut.wav
2;rak.wav;X_wiffel.wav;lut.wav
3;rak.wav;X_rogges.wav;lut.wav
4;rak.wav;X_kengel.wav;lut.wav
5;rak.wav;X_kasi.wav;lut.wav
6;rak.wav;X_snigger.wav;lut.wav
7;rak.wav;X_noeba.wav;lut.wav
8;rak.wav;X_domo.wav;lut.wav
9;rak.wav;X_wadim.wav;lut.wav
10;rak.wav;X_banip.wav;lut.wav
11;rak.wav;X_plizet.wav;lut.wav
12;rak.wav;X_naspoe.wav;lut.wav
13;rak.wav;X_fidan.wav;lut.wav
14;rak.wav;X_poemer.wav;lut.wav
15;rak.wav;X_bensim.wav;lut.wav
16;rak.wav;X_sulep.wav;lut.wav
17;rak.wav;X_hiftam.wav;lut.wav
18;rak.wav;X_vami.wav;lut.wav
19;sot.wav;X_mofig.wav;toef.wav
20;sot.wav;X_wiffel.wav;toef.wav
21;sot.wav;X_rogges.wav;toef.wav
22;sot.wav;X_kengel.wav;toef.wav
23;sot.wav;X_kasi.wav;toef.wav
24;sot.wav;X_snigger.wav;toef.wav
25;sot.wav;X_noeba.wav;toef.wav
26;sot.wav;X_domo.wav;toef.wav
27;sot.wav;X_wadim.wav;toef.wav
28;sot.wav;X_banip.wav;toef.wav
29;sot.wav;X_plizet.wav;toef.wav
30;sot.wav;X_naspoe.wav;toef.wav
31;sot.wav;X_fidan.wav;toef.wav
32;sot.wav;X_poemer.wav;toef.wav
33;sot.wav;X_bensim.wav;toef.wav
34;sot.wav;X_sulep.wav;toef.wav
35;sot.wav;X_hiftam.wav;toef.wav
36;sot.wav;X_vami.wav;toef.wav
